car_type,hour,day_of_week,multiplier
XE_MAY,0,5,0.581
SUV,7,1,1.284
SEDAN,23,0,0.913
XE_MAY,18,3,0.503
XE_MAY,0,0,0.441
SEDAN,7,4,0.979
XE_MAY,17,1,0.584
PICKUP,7,3,1.431
SUV,0,6,1.471
SEDAN,22,3,0.911
SUV,8,1,1.457
SEDAN,10,0,1.234
XE_MAY,12,0,0.51
SUV,11,4,1.228
SUV,1,5,1.435
PICKUP,17,0,1.648
PICKUP,2,4,1.245
SUV,20,4,1.252
SUV,18,1,1.245
XE_MAY,1,5,0.578
SEDAN,9,0,1.208
SEDAN,3,3,0.881
SUV,14,5,1.605
SUV,5,2,1.116
SUV,6,5,1.459
SUV,22,5,1.488
XE_MAY,19,5,0.638
SEDAN,17,5,1.561
SEDAN,5,3,0.905
PICKUP,8,5,2.125
SEDAN,21,2,0.906
XE_MAY,7,6,0.637
XE_MAY,10,3,0.584
SUV,2,1,1.155
SUV,6,5,1.503
PICKUP,12,5,1.854
PICKUP,4,2,1.245
SEDAN,7,5,1.269
SUV,23,4,1.137
PICKUP,18,3,1.395
SUV,7,1,1.222
PICKUP,2,6,1.638
XE_MAY,3,1,0.437
SEDAN,21,3,0.922
XE_MAY,12,3,0.493
PICKUP,16,2,1.696
XE_MAY,21,5,0.578
XE_MAY,21,4,0.451
SUV,20,2,1.254
XE_MAY,9,3,0.589
SEDAN,14,0,1.028
SUV,16,6,1.982
SEDAN,16,0,1.232
SUV,20,4,1.28
SEDAN,4,2,0.905
SEDAN,17,6,1.599
XE_MAY,19,2,0.488
PICKUP,0,0,1.237
SUV,9,1,1.459
XE_MAY,7,4,0.495
XE_MAY,2,5,0.581
PICKUP,2,6,1.616
SEDAN,4,5,1.193
PICKUP,17,1,1.666
SUV,16,6,1.924
PICKUP,6,4,1.263
SEDAN,22,2,0.881
PICKUP,21,5,1.668
SUV,14,4,1.218
PICKUP,3,1,1.297
SEDAN,2,2,0.915
XE_MAY,18,4,0.491
